Station_Num,Station_Name,Daily_ppt_in,Multy_dat_ppt_in,Total_ppt_in,Total_Snow_in,# of Reports,Latitude,Longitude
 NC-CM-11,Fayetteville 6.9 SW,22.88,15.59,38.47,0,106,35.010792,-78.995127
 NC-CM-13,Hope Mills 4.8 SE,33.91,11.51,45.42,0,98,34.927369,-78.889384
 NC-CM-17,Fayetteville 5.9 SW,27.76,3.59,31.35,0,63,35.0158,-78.9792
 NC-CM-21,Fayetteville 5.1 WNW,44.69,3.97,48.66,0,325,35.106198,-78.978935
 NC-CM-30,Fayetteville 5.4 NNE,10.35,,10.35,0,5,35.147778,-78.876389
 NC-CM-34,Hope Mills 8.0 SSE,48.84,,48.84,0,342,34.87271667,-78.88165
 NC-CM-56,Linden 4.2 S,47.5,,47.5,0,353,35.19423676,-78.74362183
 NC-CM-58,Hope Mills 0.6 ESE,38.56,0.1,38.66,0,354,34.969616,-78.94381
 NC-CM-60,Hope Mills 1.7 NE,36.25,8.3,44.55,0,298,34.992054,-78.933732
 NC-CM-67,Fayetteville 2.9 SW,27.58,3.76,31.34,0,262,35.039676,-78.932174
 NC-CM-68,Fayetteville 1.4 SW,38.07,10.35,48.42,0,277,35.054968,-78.913021
 NC-CM-71,Hope Mills 0.5 WSW,24.16,19.21,43.37,0,236,34.969682,-78.961272
 NC-CM-72,Fayetteville 5.6 W,19.11,,19.11,0,18,35.073135,-78.998306
 NC-CM-83,Hope Mills 1.1 ENE,44.44,0.01,44.45,0,354,34.97839,-78.934219
 NC-CM-86,Stedman 1.0 NW,45,,45,0,356,35.0195,-78.7125
 NC-CM-87,Fayetteville 2.5 NNE,48.96,,48.96,0,353,35.106518,-78.889656
 NC-CM-89,Fayetteville 8.0 SSE,2.33,1.15,3.48,0,17,34.965745,-78.842332
 NC-CM-90,Spring Lake 2.8 NE,33.31,0,33.31,0,267,35.2098,-78.9521
 NC-CC-10,Point Harbor 0.2 WSW,36.71,0.14,36.85,0,234,36.078571,-75.797325
 NC-CC-14,Corolla 5.8 SSE,38.54,12.14,50.68,0,297,36.299,-75.803
 NC-CC-15,Grandy 0.6 E,53.96,0.52,54.48,0,335,36.242784,-75.867977
 NC-CC-17,Point Harbor 0.6 NNW,39.14,7.67,46.81,0,291,36.08805,-75.79976
 NC-DR-24,Duck 1.1 SSE,39.16,3.09,42.25,0,274,36.154243,-75.74781
 NC-DR-28,Manteo 2.5 WNW,50.9,,50.9,0,354,35.917809,-75.704407
 NC-DR-33,Manteo 1.0 WNW,12.25,0.98,13.23,0,106,35.90700912,-75.68187714
 NC-DR-36,Buxton 1.0 ESE,48.45,,48.45,0,162,35.26205444,-75.52368927
 NC-DR-51,Rodanthe 1.0 SSE,52.78,,52.78,0,356,35.580543,-75.464628
 NC-DR-52,Nags Head 1.4 NNW,21.11,0.29,21.4,0,155,35.964053,-75.632305
 NC-DR-54,Manteo 1.3 E,34.43,11.69,46.12,0,261,35.90207,-75.64376
 NC-DR-62,Manteo 2.8 NW,56.72,,56.72,0,352,35.926289,-75.704517
 NC-DR-63,Buxton 0.3 ENE,39.73,11.74,51.47,0,287,35.270821,-75.53435
 NC-DR-65,Frisco 2.2 NE,57.32,,57.32,0,317,35.2514,-75.60469
 NC-DR-69,Southern Shores 0.5 NNE,23.35,7.48,30.83,0,205,36.125743,-75.729176
 NC-DR-70,Kitty Hawk 0.2 SE,10.44,18.24,28.68,0,125,36.068277,-75.716532
 NC-DR-71,Kill Devil Hills 2.2 NNW,0.1,,0.1,0,4,36.04699,-75.67774
 NC-DS-13,Clemmons 6.5 SE,50.02,,50.02,0,355,35.959984,-80.298842
 NC-DS-21,High Point 3.3 WSW,44.56,3.62,48.18,0.2,314,35.968695,-80.055181
 NC-DS-22,Denton 1.1 NNW,39.34,1.44,40.78,0,290,35.651476,-80.11914
 NC-DS-23,Thomasville 1.4 E,0,,0,0,1,35.8909305,-80.0508637
 NC-DS-24,Winston-Salem 8.8 SE,26.04,,26.04,0,96,36.00602,-80.159539
 NC-DV-1,SHEFFIELD 1.3 SW,50.54,,50.54,3.4,163,35.951931,-80.694574
 NC-DV-2,Advance 0.2 ESE,49.9,,49.9,0,356,35.941354,-80.413365
 NC-DV-5,Mocksville 4.6 SE,12.47,,12.47,0,24,35.8494339,-80.49787903
 NC-DV-6,Advance 2.9 NW,48.1,,48.1,0,354,35.9734,-80.4415
 NC-DV-9,Sheffield 1.9 NE,44.07,5.17,49.24,0,347,35.99574789,-80.6641712
 NC-DV-12,Mocksville 3.7 W,36.46,11.83,48.29,0,305,35.8917,-80.6225
 NC-DP-3,Mount Olive 2.4 SW,39.47,3.33,42.8,0,346,35.176286,-78.101772
 NC-DP-4,Mount Olive 6.0 SE,15.11,,15.11,0,128,35.1376,-77.9891
 NC-DP-17,Rose Hill 0.1 NNW,25.57,,25.57,0,184,34.82587,-78.02864
 NC-DP-22,Wallace 3.7 E,25.06,,25.06,0,193,34.74158478,-77.93291473
 NC-DP-25,Albertson 1.2 WNW,49.3,,49.3,0,353,35.12012,-77.83897
 NC-DP-28,Warsaw 3.3 E,0.9,,0.9,0,5,35.00687,-78.03014
 NC-DP-30,Warsaw 2.7 ESE,2.3,,2.3,0,1,34.983989,-78.043678
 NC-DP-31,Wallace 6.2 ENE,25.63,2.74,28.37,0,118,34.783752,-77.906515
 NC-DP-33,Mount Olive 12.7 SE,25.32,0,25.32,0,35,35.07456,-77.89943
 NC-DP-34,Chinquapin 2.4 E,11.13,,11.13,0,87,34.82775,-77.7752
 NC-DP-35,Beulaville 4.8 SE,21.07,,21.07,0,163,34.868837,-77.71729
 NC-DH-6,Durham 1.2 NW,48.77,,48.77,0,356,35.9914,-78.931
 NC-DH-22,Durham 6.8 NNW,42.2,2.1,44.3,0,347,36.07097626,-78.96331024
 NC-DH-24,Durham 4.4 NNW,39.79,7.32,47.11,0,312,36.03908539,-78.94777679
 NC-DH-33,Chapel Hill 2.5 SE,34.47,15.34,49.81,0,260,35.90353757,-79.00617912
 NC-DH-34,Durham 5.2 NW,49.05,,49.05,0.1,355,36.034668,-78.980595
 NC-DH-35,Durham 10.7 NNE,45.91,1.93,47.84,0,343,36.129228,-78.861136
 NC-DH-36,Chapel Hill 4.9 SSE,40.54,7.64,48.18,0,326,35.8683,-78.9926
 NC-DH-47,Durham 4.5 SW,42.75,3.46,46.21,0,337,35.92904663,-78.9648056
 NC-DH-48,Durham 4.5 N,46.93,1.02,47.95,0.1,349,36.0448,-78.9222
 NC-DH-49,Durham 4.5 E,33.51,,33.51,0,241,35.9713,-78.8362
 NC-DH-52,Parkwood 2.5 W,32.52,9.58,42.1,0,324,35.889316,-78.954248
 NC-DH-60,Durham 3.5 S,16.67,14.06,30.73,0,163,35.92967,-78.92235
 NC-DH-62,Durham 7.5 NNE,34.64,7.78,42.42,0,320,36.08589,-78.88568
 NC-DH-64,Durham 2.6 S,42.13,,42.13,0,316,35.94235,-78.91164
 NC-DH-65,Durham 2.6 W,40.68,7.65,48.33,0,313,35.980178,-78.961288
 NC-DH-67,Durham 5.9 SSW,6.38,0.91,7.29,0,43,35.89942,-78.94952
 NC-DH-68,Durham 2.3 SW,16.2,2.94,19.14,0,160,35.95429,-78.93905
 NC-ED-11,Tarboro 5.9 SE,48.83,,48.83,0,313,35.839078,-77.494955
 NC-ED-15,Tarboro 0.7 S,37.28,4.56,41.84,0,104,35.89844,-77.55438
 NC-ED-18,Rocky Mount 3.1 SE,43.44,0.07,43.51,0,336,35.92876,-77.76839
 NC-FR-4,Lewisville 4.2 N,46.79,3.09,49.88,0,331,36.154362,-80.405506
 NC-FR-7,Lewisville 0.5 W,50.29,5.57,55.86,0,309,36.093139,-80.411299
 NC-FR-12,Winston-Salem 4.5 NW,44.95,5.77,50.72,0,327,36.1446,-80.3243
 NC-FR-22,Kernersville 1.1 SSW,54.42,,54.42,0,356,36.103255,-80.0835199
 NC-FR-23,Winston-Salem 4.1 SSW,28.34,2.59,30.93,0,185,36.0528,-80.3021
 NC-FR-27,Winston-Salem 5.9 W,59.03,,59.03,0,322,36.10881805,-80.3682785
 NC-FR-34,Winston-Salem 4.2 NNE,54.17,,54.17,0,356,36.15277,-80.22146
 NC-FR-35,Clemmons 0.9 W,55.34,0.48,55.82,0,350,36.02095,-80.40413
 NC-FK-1,Louisburg 8.2 ESE,21.6,20.3,41.9,0,47,36.05986,-78.160712
 NC-FK-10,Wake Forest 3.5 NNW,40.77,3.15,43.92,0,151,36.019193,-78.535489
 NC-FK-11,Zebulon 5.3 N,39.11,14.48,53.59,0,248,35.90126,-78.310288
 NC-FK-18,Spring Hope 5.6 NW,1.93,,1.93,0,211,36.00559998,-78.17459869
 NC-FK-20,Louisburg 10.6 SSE,51.78,,51.78,0,356,35.970495,-78.196786
 NC-FK-24,Louisburg 10.0 SE,32.41,,32.41,0,211,35.983056,-78.194167
 NC-FK-25,Franklinton 3.7 SSE,51.64,,51.64,0,339,36.0513,-78.4435
 NC-GS-6,Gastonia 3.9 ESE,46.14,3.49,49.63,0,348,35.25389,-81.12006
 NC-GS-9,Belmont 0.4 E,49.29,,49.29,0,356,35.249,-81.0335
 NC-GS-21,Gastonia 1.8 SSE,48.55,,48.55,0,344,35.2282486,-81.15982056
 NC-GS-33,Gastonia 4.0 SSE,45.24,4.29,49.53,0,141,35.201319,-81.137319
 NC-GS-37,Kings Mountain 3.4 NNE,52.68,2,54.68,0,337,35.288582,-81.330879
 NC-GS-44,Gastonia 4.3 E,49.94,0,49.94,0,354,35.24704742,-81.0959549
 NC-GS-52,Gastonia 8.4 SW,49.37,1.61,50.98,0,354,35.165329,-81.274442
 NC-GS-53,Gastonia 1.6 WSW,47.58,,47.58,0,355,35.2428,-81.1977
 NC-GS-54,Catawba Hills 0.1 SSE,42.49,6.41,48.9,0,337,35.214992,-81.109828
 NC-GS-58,Dallas 1.7 W,39.49,2.18,41.67,0,259,35.3151,-81.2074
 NC-GT-7,Gatesville 3.7 ENE,34.12,0.69,34.81,0,234,36.436713,-76.699277
 NC-GV-7,Oxford 7.4 S,3.59,0.05,3.64,0,24,36.20449081,-78.58002573
 NC-GV-10,Oxford 2.5 WSW,42.06,4.67,46.73,0,354,36.2965,-78.629902
 NC-GV-13,Wake Forest 8.2 NNW,24.82,0.83,25.65,0,110,36.07343,-78.59386
 NC-GV-14,Oxford 1.5 WNW,4.3,13.81,18.11,0,46,36.32222,-78.61237
 NC-GV-16,Creedmoor 4.3 E,37.31,0.72,38.03,0,341,36.118611,-78.609722
 NC-GN-7,Snow Hill 3.1 NNE,47.16,,47.16,0,350,35.495357,-77.660428
 NC-GN-10,Hookerton 0.5 ESE,45.93,,45.93,0,243,35.420599,-77.58023
 NC-GL-7,Oak Ridge 2.3 SSW,47.81,3.45,51.26,0,321,36.140393,-80.000353
 NC-GL-8,Greensboro 5.3 NNE,50.7,,50.7,0,356,36.1515,-79.7968
 NC-GL-13,Browns Summit 3.2 NW,47.53,1.53,49.06,0,352,36.2455,-79.7543
 NC-GL-16,Browns Summit 3.4 NW,47.34,2.87,50.21,0,340,36.2467,-79.7572
 NC-GL-40,Summerfield 2.0 ENE,15.87,5.86,21.73,0,123,36.212216,-79.859859
 NC-GL-41,Greensboro 7.1 S,55,0.6,55.6,0,345,35.976108,-79.836675
 NC-GL-44,Greensboro 6.8 ESE,28.98,26.67,55.65,0,188,36.045631,-79.712898
 NC-GL-45,Greensboro 4.1 NE,10.92,,10.92,0,64,36.117693,-79.772116
 NC-GL-49,Greensboro 5.0 WSW,57.44,,57.44,0,356,36.05975723,-79.91279602
 NC-GL-54,Summerfield 2.2 SE,52.13,4.2,56.33,0,280,36.18175,-79.86454
 NC-GL-55,Summerfield 2.8 NW,49.88,1.98,51.86,0,350,36.233675,-79.92684
 NC-GL-58,Greensboro 1.9 WSW,21.7,,21.7,0,152,36.071845,-79.85908
 NC-GL-59,Summerfield 1.7 ENE,1.1,,1.1,0,10,36.21541,-79.8692
 NC-GL-60,High Point 1.9 NW,50.26,0.13,50.39,0,347,36.000759,-80.020974
 NC-GL-61,Summerfield 1.7 ESE,36.31,0.53,36.84,0,98,36.189581,-79.869361
 NC-HL-1,Roanoke Rapids 4.5 WNW,28.92,6.3,35.22,0,277,36.473,-77.729
 NC-HR-2,Coats 0.7 W,46.93,7.38,54.31,0,289,35.4049,-78.681
 NC-HR-7,Lillington 2.0 W,45.56,6.57,52.13,0,330,35.4028,-78.8508
 NC-HR-17,Cameron 7.6 E,45.59,7.19,52.78,0,311,35.32866667,-79.11633333
 NC-HR-21,Fuquay-Varina 7.6 SW,57.35,,57.35,0,69,35.5014,-78.8745
 NC-HR-26,Fuquay-Varina 6.1 SSW,45.64,,45.64,0,310,35.50411987,-78.81704712
 NC-HR-34,Coats 0.2 ESE,50.09,8.27,58.36,0,313,35.405216,-78.665881
 NC-HR-42,Lillington 11.0 WSW,48.2,,48.2,0,326,35.32299,-78.98909
 NC-HR-43,Lillington 0.7 WNW,47.64,,47.64,0,352,35.4029,-78.8262
 NC-HR-45,Angier 0.7 S,1.73,,1.73,0,22,35.4999131,-78.7392294
 NC-HW-2,Maggie Valley 2.9 ENE,76.84,,76.84,4.5,356,35.5389,-83.0467
 NC-HW-4,Waynesville 0.7 ENE,52.21,11.97,64.18,0.5,316,35.488416,-82.986752
 NC-HW-5,Canton 8.0 SSE,3.76,,3.76,0.3,27,35.43889,-82.78734
 NC-HW-9,Waynesville 2.3 WSW,33.67,,33.67,0,49,35.46656,-83.03128
 NC-HW-15,Lake Junaluska 5.1 N,45.91,6.19,52.1,0,90,35.600833,-82.980833
 NC-HW-16,Clyde 0.6 SSE,52.81,,52.81,0,348,35.526097,-82.907325
 NC-HW-17,Canton 1.5 N,50.17,,50.17,0,353,35.56776,-82.83938
 NC-HW-25,Waynesville 1.0 NW,71.03,,71.03,1.4,356,35.493224,-83.012711
 NC-HW-30,Waynesville 2.2 SE,48.06,11.29,59.35,0.2,306,35.458483,-82.973765
 NC-HW-35,Waynesville 5.5 NNW,65.02,4.42,69.44,1.3,339,35.558258,-83.034368
 NC-HW-39,Maggie Valley 2.1 ENE,71.21,3.35,74.56,2.7,334,35.53165054,-83.05953217
 NC-HW-48,Waynesville 4.1 NNW,66.08,3.65,69.73,1.5,352,35.53742981,-83.03031921
 NC-HW-58,Crabtree 1.7 ENE,57.5,,57.5,0.1,352,35.60944,-82.91278
 NC-HW-59,Waynesville 5.7 E,0.25,,0.25,0,10,35.47318,-82.89643
 NC-HW-61,Maggie Valley 6.2 NNE,65.98,3.17,69.15,3,332,35.5982,-83.0455
 NC-HN-2,Fletcher 1.2 WSW,51.18,8.79,59.97,0,344,35.430765,-82.524227
 NC-HN-4,East Flat Rock 2.1 W,73.55,7.1,80.65,0,339,35.2817,-82.4564
 NC-HN-11,Etowah 1.9 NW,65.72,,65.72,0,342,35.33631944,-82.61565278
 NC-HN-12,East Flat Rock 0.5 NNE,73.72,1.07,74.79,0,343,35.291041,-82.414334
 NC-HN-14,Hendersonville 4.8 SW,74.87,,74.87,0,356,35.279975,-82.530936
 NC-HN-15,Hendersonville 9.6 ENE,46.94,14.1,61.04,0,300,35.385745,-82.3103188
 NC-HN-16,Hendersonville 3.4 NW,59.44,8.26,67.7,0,336,35.357838,-82.503878
 NC-HN-18,Flat Rock 1.5 S,26.64,,26.64,0,62,35.25,-82.443
 NC-HN-19,Fletcher 2.5 E,54.19,,54.19,0,118,35.441231,-82.45965
 NC-HN-25,Hendersonville 6.1 SSW,74.56,3.85,78.41,0,348,35.24086391,-82.50441026
 NC-HN-27,Hendersonville 4.9 NNE,55.46,,55.46,0,261,35.39151001,-82.44403839
 NC-HN-28,Hendersonville 2.6 SSW,70.92,2.81,73.73,0,354,35.288337,-82.482811
 NC-HN-29,Flat Rock 1.6 SE,7.22,0.05,7.27,0,22,35.25262,-82.42473
 NC-HN-30,Laurel Park 1.5 W,64.49,8.24,72.73,0.3,320,35.3084,-82.5274
 NC-HN-32,Hendersonville 2.4 SSE,67.49,7.36,74.85,0,319,35.29042435,-82.44307709
 NC-HN-33,Hendersonville 5.1 WSW,65.74,5.27,71.01,0,322,35.288142,-82.542124
 NC-HN-39,Mountain Home 0.9 WNW,59.99,2.82,62.81,0,249,35.3751,-82.5191
 NC-HN-40,Hendersonville 4.4 NW,66.92,1.9,68.82,0,335,35.356746,-82.526631
 NC-HN-41,Hendersonville 4.6 WSW,63.79,,63.79,0,106,35.2963295,-82.53804779
 NC-HN-44,Gerton 0.4 SW,57.88,3.49,61.37,0,338,35.476,-82.353
 NC-HN-46,Hendersonville 3.5 WNW,62.44,2.34,64.78,0,304,35.346215,-82.515418
 NC-HN-47,Hendersonville 3.3 SW,77.88,,77.88,0,351,35.2852,-82.50115
 NC-HN-48,Hendersonville 1.4 SW,66.57,,66.57,0,300,35.30527,-82.47638
 NC-HN-50,Flat Rock 0.9 S,9.34,,9.34,0,11,35.2587,-82.4422
 NC-HN-53,Flat Rock 1.0 NE,70.07,0.45,70.52,0,348,35.280196,-82.428522
 NC-HN-54,Mills River 1.1 N,53.83,0.12,53.95,0,290,35.40352,-82.56427
 NC-HN-56,Hendersonville 1.1 ESE,42.44,30.41,72.85,0,311,35.314907,-82.44518
 NC-HN-57,Saluda 3.8 SSW,54.37,5.81,60.18,0,108,35.18562,-82.36954
 NC-HN-61,Hendersonville 1.0 SSW,7.31,1.3,8.61,0,45,35.307278,-82.466467
 NC-HK-4,Fayetteville 10.8 WSW,36.19,,36.19,0,195,34.994396,-79.055685
 NC-HK-5,Raeford 4.4 NE,14.11,,14.11,0,23,35.0184,-79.163343
 NC-HK-14,Red Springs 3.8 NW,37.84,0.2,38.04,0,347,34.849074,-79.235635
 NC-HK-15,Raeford 6.2 NE,14.82,,14.82,0,116,35.0406,-79.14508
 NC-HD-1,Scranton 5.6 SW,7.27,,7.27,0,4,35.421836,-76.485117
 NC-HD-12,Ocracoke 0.6 SW,7.12,,7.12,0,49,35.1075,-75.987222
 NC-HD-13,Engelhard 0.8 NW,58.2,,58.2,0,351,35.519675,-76.004754
 NC-HD-14,Ocracoke 0.2 ESE,35.55,,35.55,0,195,35.107813,-75.969299
 NC-HD-15,SQ Tower,0.04,,0.04,0,1,35.4116,-76.3258
 NC-IR-1,Mooresville 1.9 SSE,6.32,1.87,8.19,0,53,35.5531,-80.801
 NC-IR-2,Harmony 3.4 SW,34.88,15.7,50.58,0,261,35.926022,-80.818824
 NC-IR-5,Statesville 2.9 ENE,47.31,2.03,49.34,0,341,35.795278,-80.834722
 NC-IR-17,Harmony 2.2 N,48.27,2.37,50.64,0,338,35.989379,-80.768892
 NC-IR-21,Mooresville 1.3 WSW,45.69,3.25,48.94,0,331,35.568733,-80.832221
 NC-IR-25,Statesville 8.3 WSW,41.17,10.59,51.76,0,247,35.74322,-81.024766
 NC-IR-27,Mooresville 4.2 W,31.23,5.67,36.9,0,254,35.570079,-80.885836
 NC-JC-7,Whittier 3.5 ESE,35.44,,35.44,0,65,35.4254153,-83.2999815
 NC-JC-10,Tuckasegee 4.2 E,50.95,5.12,56.07,0.4,142,35.27655,-83.04937
 NC-JC-17,Sylva 3.9 NE,0,,0,0,2,35.41611,-83.177218
 NC-JC-19,Tuckasegee 3.7 ESE,63.59,,63.59,0,353,35.255121,-83.05926
 NC-JH-5,Clayton 2.9 W,39.41,1.44,40.85,0,57,35.65438,-78.509292
 NC-JH-7,Clayton 5.7 SSE,56.77,,56.77,0,356,35.572406,-78.415406
 NC-JH-14,Clayton 1.3 SSW,47.95,1.57,49.52,0,331,35.631653,-78.470186
 NC-JH-15,Wendell 6.5 S,44.7,,44.7,0,356,35.689161,-78.3482
 NC-JH-20,Clayton 4.6 ESE,48,3.38,51.38,0,344,35.6169,-78.3846
 NC-JH-22,Middlesex 5.5 SSW,48.62,,48.62,0,355,35.721802,-78.258338
 NC-JH-23,Garner 9.6 SSE,20.09,4.19,24.28,0,52,35.5728,-78.54543
 NC-JH-24,Clayton 1.6 S,32.08,15.82,47.9,0,75,35.624365,-78.457768
 NC-JH-26,Selma 7.0 NNE,34.01,1.54,35.55,0,52,35.634255,-78.254622
 NC-JH-44,Clayton 3.4 W,2.41,,2.41,0,5,35.64856,-78.51849
 NC-JH-46,Clayton 6.8 ESE,47.33,1.05,48.38,0,355,35.61936944,-78.341075
 NC-JH-57,Garner 9.8 SE,42.37,9.91,52.28,0,289,35.5838623,-78.51712036
 NC-JH-63,Clayton 3.3 ENE,37.31,9.63,46.94,0,321,35.672634,-78.409744
 NC-JH-65,Four Oaks 5.7 NW,49.34,,49.34,0,352,35.51073837,-78.49013519
 NC-JH-80,Kenly 4.2 SSE,51.72,0,51.72,0,355,35.536,-78.1004
 NC-JH-82,Clayton 1.9 N,40.76,,40.76,0,243,35.674264,-78.460063
 NC-JH-84,Clayton 5.5 S,35.17,2.3,37.47,0,236,35.568015,-78.449653
 NC-JH-85,Garner 6.2 SSE,0,,0,0,1,35.6162,-78.5738
 NC-JH-86,Clayton 6.6 E,28.47,,28.47,0,239,35.662195,-78.342539
 NC-JH-88,Kenly 5.2 NW,8.24,,8.24,0,15,35.65511,-78.17834
 NC-JH-89,Selma 2.3 N,11.71,0.65,12.36,0,88,35.570658,-78.286922
 NC-JH-90,Clayton 4.3 SW,3.05,,3.05,0,24,35.605513,-78.516125
 NC-JH-91,Clayton 2.6 ESE,10.22,0.88,11.1,0,81,35.636134,-78.414659
 NC-JH-92,Clayton 3.2 SW,8.06,0.81,8.87,0,22,35.617238,-78.502802
 NC-JN-1,New Bern 4.4 SW,47.83,,47.83,0,328,35.07159388,-77.12831294
 NC-LE-3,Sanford 6.6 S,44.16,,44.16,0,354,35.383124,-79.163226
 NC-LE-9,Sanford 6.0 N,48.16,,48.16,0,324,35.56315,-79.195
 NC-LE-12,Sanford 2.2 NW,34.13,,34.13,0.5,73,35.498878,-79.210487
 NC-LE-13,Sanford 2.9 SW,21.08,,21.08,0,121,35.44502,-79.21343
 NC-LR-7,Kinston 4.7 ESE,49.97,0.29,50.26,0,344,35.2460359,-77.515621
 NC-LR-10,Kinston 5.1 WNW,43.46,,43.46,0,356,35.30070037,-77.67621182
 NC-LR-22,Kinston 7.0 SW,46.82,2.63,49.45,0,342,35.1919,-77.6598
 NC-LR-23,Kinston 4.4 WNW,46.77,,46.77,0,354,35.288973,-77.666513
 NC-LR-26,Kinston 1.3 NNW,50.5,,50.5,0,44,35.292263,-77.601692
 NC-LR-31,Pink Hill 2.5 NE,46.36,0,46.36,0,285,35.084846,-77.718803
 NC-LN-1,Lincolnton 2.3 S,21.38,,21.38,0,19,35.442195,-81.241749
 NC-LN-4,Lincolnton 4.4 WSW,51.88,0.79,52.67,0,329,35.4606,-81.3296
 NC-LN-10,Vale 4.2 W,60.59,,60.59,0,348,35.539062,-81.471724
 NC-LN-11,Lincolnton 0.9 WNW,0,0,0,0,3,35.47964,-81.26033
 NC-LN-12,Westport 0.6 NNW,32.24,,32.24,0,41,35.51566315,-80.98212433
 NC-LN-13,Lincolnton 8.0 WSW,1.57,,1.57,0,4,35.461976,-81.402326
 NC-LN-17,Maiden 1.8 SSE,10.91,,10.91,0,68,35.552895,-81.189508
 NC-MD-8,Old Fort 3.6 NW,53.06,13.49,66.55,0.5,267,35.67527,-82.21297
 NC-MD-9,Pleasant Gardens 0.8 WSW,63.39,,63.39,0,356,35.6891,-82.0742
 NC-MD-10,Old Fort 0.2 W,54.48,5,59.48,0,281,35.6322,-82.18
 NC-MD-18,Old Fort 4.5 S,3.33,,3.33,0,2,35.56767,-82.19033
 NC-MD-19,Old Fort 4.9 SW,60.76,0.9,61.66,0,326,35.578809,-82.234536
 NC-MD-25,Woodlawn 0.3 W,53.7,,53.7,0,142,35.78392,-82.04718
 NC-MD-26,Marion 1.3 ENE,3.33,,3.33,0,11,35.6863,-81.9862
 NC-MC-4,Franklin 4.9 NNW,50.71,7.26,57.97,0,328,35.247,-83.414
 NC-MC-7,Franklin 4.3 SSE,28.4,2.25,30.65,0,182,35.122597,-83.35581
 NC-MC-12,Franklin 4.4 ESE,61.45,7.31,68.76,0,340,35.161389,-83.307778
 NC-MC-28,Franklin 3.4 ESE,47.47,15,62.47,0,314,35.161778,-83.3258
 NC-MC-32,Franklin 4.1 ENE,42.54,15.37,57.91,0,308,35.207599,-83.317309
 NC-MC-37,Highlands 1.0 W,99.3,4.35,103.65,0,116,35.051604,-83.21566
 NC-MS-5,Marshall 13.6 NNW,59.74,5.26,65,9.5,338,35.98208,-82.76719
 NC-MS-7,Hot Springs 8.4 SSW,52.03,0.96,52.99,6.6,320,35.78343,-82.89474
 NC-MS-9,Hot Springs 5.7 SSW,52.19,,52.19,0,109,35.81162643,-82.85299683
 NC-MS-12,Marshall 4.8 SW,54.96,0.79,55.75,2.3,354,35.75637817,-82.75304413
 NC-MS-16,Mars Hill 2.2 SSE,42.04,,42.04,3.3,343,35.801508,-82.530481
 NC-MS-17,Mars Hill 2.0 S,38.6,1.57,40.17,0,140,35.79956,-82.5453
 NC-MS-18,Leicester 6.5 WNW,57.49,,57.49,0.5,346,35.6955,-82.7991
 NC-MS-19,Marshall 15.1 NNE,63.86,2.52,66.38,4,340,36.00835037,-82.61821747
 NC-MS-20,Marshall 7.5 WSW,59.53,,59.53,5.7,356,35.770062,-82.812851
 NC-MS-21,Hot Springs 5.6 SSW,52.34,0.04,52.38,0.5,293,35.815318,-82.860983
 NC-MS-22,Hot Springs 6.5 SW,43.19,20.89,64.08,4.8,220,35.82765,-82.91419
 NC-MS-23,Hot Springs 9.6 SW,55.3,0,55.3,14.9,351,35.7865881,-82.9417695
 NC-MS-24,Hot Springs 5.6 SSW,48.3,,48.3,0,313,35.8196,-82.87238333
 NC-MS-25,Swiss 3.2 WNW,53.36,,53.36,3.5,280,35.925285,-82.504016
 NC-MS-26,Walnut 3.9 NE,45.08,2.3,47.38,0.9,204,35.90059,-82.705733
 NC-MS-28,Mars Hill 6.8 E,46.37,,46.37,0.9,279,35.8251463,-82.4297128
 NC-MS-29,Marshall 1.7 W,36.91,2,38.91,0,248,35.79619,-82.71516
 NC-MS-31,Marshall 2.7 SSE,19.12,,19.12,0,185,35.760837,-82.663604
 NC-MS-32,Marshall 3.6 NNE,2.15,,2.15,0,8,35.848257,-82.670374
 NC-MS-33,Marshall 3.0 WSW,7.37,5.76,13.13,0,63,35.786494,-82.735847
 NC-MT-6,Williamston 0.9 SSW,46.39,7.95,54.34,0,284,35.838559,-77.062034
 NC-MT-7,Jamesville 6.1 SW,45.71,1.79,47.5,0,341,35.74264,-76.9673
 NC-MT-10,Robersonville 0.0 NNW,49.53,,49.53,0,339,35.825368,-77.253325
 NC-MT-14,Williamston 8.9 SSE,40.85,7.11,47.96,0,325,35.72537994,-77.02729034
 NC-MK-15,Mount Holly 4.4 ENE,22.17,,22.17,0,159,35.330222,-80.96002
 NC-MK-37,Davidson 0.8 W,25.49,20.13,45.62,0,290,35.49928665,-80.86012268
 NC-MK-39,Huntersville 3.4 SE,0,,0,0,1,35.386737,-80.796066
 NC-MK-46,Matthews 2.4 S,1.03,,1.03,0,4,35.0875206,-80.71762848
 NC-MK-53,Charlotte 7.0 ENE,49.88,2.37,52.25,0,338,35.2365,-80.7197
 NC-MK-64,Matthews 1.3 S,54.12,,54.12,0,350,35.1027,-80.7156
 NC-MK-67,Mint Hill 0.8 S,6.57,2.74,9.31,0,34,35.165564,-80.663921
 NC-MK-68,Huntersville 2.0 W,44.67,3.83,48.5,0,325,35.417665,-80.880048
 NC-MK-69,Charlotte 6.7 ENE,30.73,,30.73,0,74,35.241455,-80.728439
 NC-MK-70,Huntersville 2.8 SSW,48.4,,48.4,0,117,35.381278,-80.872283
 NC-MK-71,Charlotte 5.8 E,46.38,3.69,50.07,0,90,35.190048,-80.731684
