Station_Num,Station_Name,Daily_ppt_in,Multy_dat_ppt_in,Total_ppt_in,Total_Snow_in,# of Reports,Latitude,Longitude
 NC-BC-72,Candler 1.8 NNE,7.63,1.68,9.31,0,32,35.560322,-82.6796279
 NC-BC-73,Leicester 0.9 SE,41.89,9.93,51.82,0,102,35.64743333,-82.68305
 NC-BC-75,Asheville 2.5 WNW,46.61,4.85,51.46,0,119,35.58118439,-82.59240723
 NC-BC-76,Black Mountain 2.4 SE,28.57,,28.57,0.1,17,35.585695,-82.30557
 NC-BC-78,Weaverville 2.4 ESE,50.64,1.44,52.08,0,125,35.6855785,-82.5172883
 NC-BC-83,Arden 2.4 WNW,29.94,11.1,41.04,0,181,35.474264,-82.55825
 NC-BC-87,Bat Cave 1.9 N,36.16,24.47,60.63,0,242,35.479675,-82.284756
 NC-BC-91,Candler 1.3 N,43.57,5.85,49.42,0.1,332,35.55463,-82.692977
 NC-BC-94,Swannanoa 3.0 W,28.56,10.06,38.62,0.1,242,35.603096,-82.445701
 NC-BC-95,Weaverville 0.6 W,43.27,2.73,46,0.9,339,35.697933,-82.568916
 NC-BC-99,Asheville 4.1 ESE,41.3,,41.3,0,222,35.556599,-82.479347
 NC-BC-101,Asheville 2.1 SSE,44.77,,44.77,0,82,35.547119,-82.530929
 NC-BC-105,Black Mountain 1.3 NNE,52.72,4.75,57.47,0.1,336,35.631942,-82.322097
 NC-BC-110,Asheville 1.1 NNE,48.38,3.8,52.18,0,349,35.58895,-82.542764
 NC-BC-115,Black Mountain 5.5 SE,62.82,7.16,69.98,0,156,35.547306,-82.257136
 NC-BC-121,Asheville 2.4 NNW,46.36,0.86,47.22,0,342,35.606532,-82.564416
 NC-BC-122,Weaverville 4.5 ESE,36.42,9.93,46.35,1.9,281,35.670132,-82.485844
 NC-BC-124,Weaverville 0.5 SW,6.38,,6.38,0,33,35.6923,-82.565
 NC-BC-126,Swannanoa 0.4 NNE,56.62,0,56.62,0.3,287,35.60697174,-82.39077759
 NC-BC-129,Woodfin 3.7 NW,45.78,,45.78,0,326,35.67764,-82.62631
 NC-BC-133,Asheville 4.9 E,8.81,21.01,29.82,0,87,35.5794,-82.4621
 NC-BC-134,Swannanoa 4.0 NNW,10.3,1.02,11.32,0,79,35.654916,-82.421087
 NC-BC-144,Mars Hill 2.6 SE,47.76,,47.76,3.7,356,35.802483,-82.515531
 NC-BC-145,Avery Creek 0.9 ESE,57.8,3.52,61.32,0,349,35.4567,-82.5596
 NC-BC-147,Weaverville 1.4 SE,39.2,7.58,46.78,0.6,232,35.685819,-82.538099
