"","Name","Wells","pptVal","pct"
"1","Alabama",193472.986549977,100,0.0339138716085788
"2","Florida",1463956.01425026,100,0.256616787662318
"3","Georgia",622822.713016078,100,0.109174566955257
"4","Louisiana",202174.897232288,100,0.0354392291630971
"5","Mississippi",142309.008116164,100,0.0249453399984039
"6","North Carolina",1489364.97246906,100,0.261070722871085
"7","South Carolina",438954.22172935,100,0.0769442669141171
"8","Texas",766803.422165268,100,0.134412939356855
"9","Virginia",384975.137168421,100,0.0674822754702878
"10","Alabama",145618.198650605,120,0.0255254078668676
"11","Florida",1427182.43181778,120,0.250170747957026
"12","Georgia",372188.337896109,120,0.0652408779680384
"13","Louisiana",180258.450884,120,0.031597496212021
"14","Mississippi",114424.176441812,120,0.0200574090365972
"15","North Carolina",1356976.63121867,120,0.237864376146921
"16","South Carolina",397344.962024883,120,0.0696505815448638
"17","Texas",669068.083833391,120,0.117280916044898
"18","Virginia",247566.423963032,120,0.0433959079590084
"19","Alabama",112045.424522606,140,0.0196404377135452
"20","Florida",1387991.44284775,140,0.243300961162272
"21","Georgia",214006.916548788,140,0.0375132633273775
"22","Louisiana",146544.436913762,140,0.0256877681327414
"23","Mississippi",96236.1309285857,140,0.0168692273098051
"24","North Carolina",1162035.3431715,140,0.203693126031158
"25","South Carolina",337459.125127726,140,0.0591531957344791
"26","Texas",580771.377629123,140,0.101803390158366
"27","Virginia",154275.818888055,140,0.0270430017511841
"28","Alabama",90507.7143630713,160,0.0158650934129361
"29","Florida",1330999.1134407,160,0.233310778157135
"30","Georgia",139153.134864837,160,0.0243921471099962
"31","Louisiana",122611.324577717,160,0.0214925338861834
"32","Mississippi",78240.5876341471,160,0.0137147892887817
"33","North Carolina",979270.745565409,160,0.171656327466489
"34","South Carolina",282650.920001259,160,0.0495458677818737
"35","Texas",510494.269049978,160,0.0894845187754627
"36","Virginia",90429.2427644414,160,0.0158513381297397
"37","Alabama",59308.3969771195,180,0.0103961663912863
"38","Florida",1268521.07964925,180,0.222359006263067
"39","Georgia",108745.247082905,180,0.0190619497500762
"40","Louisiana",96807.8064786126,180,0.0169694362927288
"41","Mississippi",65998.9144417934,180,0.0115689469139733
"42","North Carolina",855157.502555847,180,0.149900522362073
"43","South Carolina",251454.739790822,180,0.0440774906755867
"44","Texas",470627.280183068,180,0.0824962359874478
"45","Virginia",61608.9718275693,180,0.0107994340592712
"46","Alabama",29873.2951967169,200,0.00523648864832573
"47","Florida",1156275.89191271,200,0.202683552064221
"48","Georgia",84349.2181576397,200,0.0147855708742226
"49","Louisiana",80231.9967975774,200,0.0140638633165983
"50","Mississippi",57519.7789223278,200,0.010082639608304
"51","North Carolina",735275.618196622,200,0.128886431936054
"52","South Carolina",237843.059144582,200,0.0416914997522786
"53","Texas",443215.185102052,200,0.0776911710030418
"54","Virginia",50434.7891996191,200,0.00884071206023269
